STT,Loại Lỗi,Mô Tả Lỗi,Vị Trí,Mức Độ Nghiêm Trọng,Số Lượng Mẫu/Dòng,Khuyến Nghị Sửa Chữa
1,Thiếu Dữ Liệu (Missing Data),Cột 'Length' thiếu 26037 giá trị (50.7% dữ liệu),EDA(real).ipynb,Cao,26037,Sử dụng chiến lược imputation hoặc loại bỏ các hàng có Length=NULL
2,Thiếu Dữ Liệu (Missing Data),Cột 'Direction' thiếu 40630 giá trị (79.2% dữ liệu),Preprocessing.ipynb,Cao,40630,Xem xét loại bỏ cột hoặc sử dụng mode imputation
3,Thiếu Dữ Liệu (Missing Data),Cột 'Bedrooms' thiếu 34662 giá trị (67.5% dữ liệu),EDA(real).ipynb,Cao,34662,Sử dụng median/mean imputation cho các thuộc tính xây dựng
4,Thiếu Dữ Liệu (Missing Data),Cột 'Bathrooms' thiếu 40540 giá trị (79% dữ liệu),Preprocessing.ipynb,Cao,40540,Cân nhắc loại bỏ cột hoặc imputation
5,Thiếu Dữ Liệu (Missing Data),Cột 'Floors' thiếu 42624 giá trị (83.1% dữ liệu),EDA(real).ipynb,Rất Cao,42624,Xem xét loại bỏ cột này khỏi mô hình
6,Thiếu Dữ Liệu (Missing Data),Cột 'Latitude' và 'Longitude' thiếu 29856 giá trị (58.2% dữ liệu),EDA(real).ipynb,Cao,29856,Sử dụng reverse geocoding hoặc imputation dựa trên Location
7,Thiếu Dữ Liệu (Missing Data),Cột 'Area' thiếu 104 giá trị,Preprocessing.ipynb,Trung Bình,104,Sử dụng median imputation
8,Thiếu Dữ Liệu (Missing Data),Cột 'Agent Name' thiếu 929 giá trị,EDA(real).ipynb,Thấp,929,Điền giá trị mặc định hoặc loại bỏ
9,Outlier - Giá Quá Cao,Giá tối đa: 660,000,000 (không hợp lý cho thị trường bất động sản),Baseline_Linear Regression.ipynb,Cao,Nhiều,Áp dụng phương pháp outlier detection (IQR hoặc Z-score)
10,Outlier - Diện Tích Quá Lớn,Area tối đa: 1,578,861,000 m² (không thực tế),EDA(real).ipynb,Rất Cao,Nhiều,Loại bỏ hoặc capping dữ liệu ngoại lệ
11,Outlier - Chiều Dài Quá Lớn,Length tối đa: 90,000 m (không hợp lý),Preprocessing.ipynb,Rất Cao,Nhiều,Sử dụng IQR hoặc Z-score để loại bỏ
