Mô Hình,MAE (Triệu VNĐ),RMSE (Triệu VNĐ),MAPE (%),R² Score,Median Error (Triệu VNĐ),Phân Loại Lỗi,Loại Vấn Đề,Mức Độ Nghiêm Trọng,Nguyên Nhân Gốc Rễ,Giải Pháp Khuyến Nghị
Dummy Regressor,30838.68,155353.44,204.45,-0.0189,5287.70,Hiệu Suất Kém,Mô hình Baseline dự báo trung bình - không học hỏi,Cao,Mô hình không có khả năng học từ dữ liệu,Thay thế bằng mô hình có khả năng học tốt hơn hoặc thực hiện kỹ thuật kỹ thuật đặc trưng
Linear Regression,28962.26,155259.37,173.86,-0.0177,3588.66,Underfitting,Mô hình quá đơn giản không nắm bắt các mối quan hệ phức tạp,Cao,Mô hình tuyến tính không đủ để giải thích mối quan hệ phi tuyến tính trong giá nhà,Sử dụng đặc trưng đa thức hoặc các mô hình phi tuyến tính (Tree-based Models)
Ridge,28962.84,155254.02,173.90,-0.0176,3583.91,Underfitting,Regularization L2 không đủ,Cao,Hệ số chính quy quá cao làm mất thông tin quan trọng,Giảm tham số alpha hoặc tăng độ phức tạp của mô hình
Lasso,30838.68,155353.44,204.45,-0.0189,5287.70,Loại Bỏ Đặc Trưng,Over-regularization loại bỏ các đặc trưng quan trọng,Cao,Hệ số L1 penalty quá cao khiến mô hình loại bỏ các tính năng có liên quan,Giảm L1 penalty hoặc sử dụng Elastic Net
Random Forest,25370.05,141614.90,131.32,0.1533,2172.37,Hiệu Suất Trung Bình - Tốt Hơn,Ensemble Tree cải thiện nhận dạng mẫu phi tuyến,Thấp,Mô hình cây tập hợp hoạt động tốt nhưng còn không gian cải thiện,Giám sát Overfitting trên dữ liệu chưa thấy / Tinh chỉnh siêu tham số
XGBoost,25434.27,147166.51,124.40,0.0856,2437.35,Hiệu Suất Trung Bình - Tốt Hơn,Gradient Boosting nắm bắt các mẫu tốt,Thấp,Mô hình học tuần tự cải thiện hiệu suất nhưng chưa tối ưu,Tinh chỉnh siêu tham số (learning_rate, max_depth, n_estimators)
Gradient Boosting,26829.74,152039.47,161.10,0.0241,3031.91,Hiệu Suất Trung Bình,Boosting tiêu chuẩn hoạt động khá hợp lý,Trung Bình,Mô hình có khả năng học nhưng chưa được tối ưu hóa đầy đủ,Tăng số lượng estimators hoặc điều chỉnh learning rate
LightGBM,25785.06,150822.75,153.78,0.0396,2677.28,Hiệu Suất Trung Bình - Tốt Hơn,Fast Gradient Boosting với cân bằng tốt,Thấp,Mô hình nhanh và hiệu quả nhưng có thể tối ưu hóa thêm,Mô hình tốt cho sản xuất - cần tối ưu hóa thêm siêu tham số
Stacking Ensemble,20222.61,149703.76,147.16,0.0538,2614.19,Phương Pháp Ensemble,Meta-learner kết hợp nhiều mô hình cơ sở,Thấp,Kết hợp các mô hình khác nhau giúp giảm MAE đáng kể,Khám phá các cấu hình Stacking nâng cao hoặc thêm mô hình cơ sở
Phân Khúc Giá Cao (>15 Tỷ),44932.27,N/A,N/A,N/A,N/A,Lỗi Outlier Nghiêm Trọng,Mô hình Baseline Linear thất bại trên bất động sản sang trọng,Rất Cao,Dữ liệu biệt thự hạng sang có phân bố hoàn toàn khác với nhà phổ thông; thiếu đặc trưng mô tả chi tiết,Tạo mô hình riêng biệt cho phân khúc cao cấp hoặc sử dụng phương pháp chuẩn hóa mạnh mẽ hơn
Phân Khúc Giá Thấp (<5 Tỷ),3137.91,N/A,N/A,N/A,N/A,Hiệu Suất Tốt Hơn,Dự báo ổn định hơn cho phân khúc ngân sách,Thấp,Phân khúc này có dữ liệu đặc trưng rõ ràng và mô hình dễ học,Ưu tiên triển khai cho phân khúc này trước
Phân Khúc Giá Trung Bình (5-15 Tỷ),4172.64,N/A,N/A,N/A,N/A,Hiệu Suất Chấp Nhận Được,Độ chính xác trung bình cho bất động sản tầm trung,Trung Bình,Phân khúc này có biến động cao nhưng mô hình vẫn học được một số mẫu,Cân bằng giữa độ chính xác và phạm vi bao phủ
Khoảng Dự Báo,N/A,N/A,N/A,N/A,N/A,Phạm Vi Hẹp,Mô hình dự báo trong phạm vi giá trị quá hẹp,Cao,Mô hình bị ảnh hưởng bởi đặc trưng không phân biệt rõ ràng hoặc chính quy hóa quá mức,Thêm các đặc trưng tương tác hoặc giảm hệ số chính quy hóa
Biến Đổi Log,N/A,N/A,N/A,N/A,N/A,Cắt Giới Hạn Dự Báo,Dự báo được cắt giới hạn ở phạm vi 0-19 để tránh tràn số,Trung Bình,Sử dụng phép biến đổi log làm cho mô hình khó dự báo các giá trị cực đoan,Kiểm tra các dự báo không gian log hoặc sử dụng phương pháp chuẩn hóa khác
Thiếu Hụt Đặc Trưng,N/A,N/A,N/A,N/A,N/A,Khoảng Trống Kỹ Thuật Đặc Trưng,Hạn chế trong kỹ thuật đặc trưng của notebook Baseline,Trung Bình,Chỉ sử dụng đặc trưng cơ bản mà không tạo các đặc trưng tương tác hoặc dựa trên miền,Thêm các đặc trưng tương tác (Area per Bedroom, Price per m²) và các đặc trưng dựa trên miền
